transaction_id,rule_id,severity,weight,remarks,raw_score,transaction_timestamp,customer_id,customer_account,channel,device_id,amount,currency,is_new_beneficiary,beneficiary_account,entered_beneficiary_name,official_beneficiary_account_name,customer_account_balance
TX-003281,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T02:00:00+00:00,2124,PL852485806004323872967381,Mobile,MOB-IOS-DDABDC6E,1273.29,EUR,False,DE956919699212938271287500,Heniek Zielinski,Henryk Zielinski,243158.47
TX-003376,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T06:00:00+00:00,2010,PL403861639245494621765622,Mobile,MOB-IOS-20D15435,2911.99,EUR,False,DE177544131573051403623567,Michał Krawczyk,Stefan Grabowski,213935.54
TX-003414,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T10:00:00+00:00,2128,PL663737938671395430414338,Web,WEB-CHROME-9B1D6A2F,1004.92,EUR,False,DE521794548493056515527744,Bartek Mazur,Bartosz Mazur,300431.54
TX-003421,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T11:00:00+00:00,2135,PL231914541760324535408187,Web,WEB-CHROME-DDD31E06,1344.5,EUR,False,DE545784310934630880144206,Peter Kaminski,Piotr Kaminski,495535.76
TX-003422,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T11:00:00+00:00,2355,PL392905335402055943956197,Mobile,MOB-IOS-3CC1B826,164.83,EUR,True,TR131916801524942677869508,Zbigniew Wozniak,Zdzislaw Wozniak,214515.85
TX-003501,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-19T20:00:00+00:00,2364,PL472381781777070472719220,Web,WEB-FIREFOX-ECE0ACFE,16269.0,EUR,False,DE928793695260547745491039,Aleksandra Kowalczyk,Dorota Kamińska,7679.0
TX-003988,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-21T04:00:00+00:00,2220,PL735400413621411601403957,Corporate API,CORPAPI-8F51FE7C,4753.57,EUR,True,DE899547900455247203298314,Marc Nowak,Marek Nowak,235608.39
TX-004108,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-21T14:00:00+00:00,2211,PL399814771878472922520266,Corporate API,CORPAPI-43B15AE2,1887.15,EUR,True,DE373516304034368962257678,Johan Czerwinski,Jan Czerwinski,440658.35
TX-004150,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-21T19:00:00+00:00,2295,PL979333164348081423828271,Mobile,MOB-ANDROID-CF1B7B4C,3454.91,EUR,True,TR969975329369576393234203,Dirk van den Berg,Willem de Vries,353499.37
TX-004209,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-21T22:00:00+00:00,2284,PL857772882184289809111594,Mobile,MOB-ANDROID-ECD5FA8C,1301.47,EUR,True,SA560623298793687397816209,Katarzyna Dąbrowska,Ewa Szymańska,347113.56
TX-004242,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T00:00:00+00:00,2369,PL585032352353165774740833,Phone,PHONE-IVR-1B2A5286,46710.0,EUR,False,DE521895583029600755285223,James Wilson,David Brown,5188.0
TX-004343,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T05:00:00+00:00,2132,PL307883626605213794990989,Mobile,MOB-ANDROID-1E88A37E,344.05,EUR,False,DE824713813051846895038514,Tadek Lewandowski,Tadeusz Lewandowski,91290.38
TX-004344,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T05:00:00+00:00,2137,PL319492971914770781792291,ATM,ATM-ECD3A33C,4920.14,EUR,False,DE878283182038348309902455,Janusz Mazurkiewicz,Jan Mazurkiewicz,461008.86
TX-004401,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T09:00:00+00:00,2366,PL871994007472831295213411,Web,WEB-FIREFOX-DBAC774C,30706.0,EUR,False,DE784549083112147194085420,Robert Mazur,Andrzej Lewandowski,2759.0
TX-004428,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T12:00:00+00:00,2319,PL392372941203814522652648,Mobile,MOB-IOS-23EFF23D,4592.68,EUR,False,DE475854332015216466540153,Robert Mazur,Andrzej Lewandowski,4694.0
TX-004453,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T15:00:00+00:00,2122,PL068399896009516001066530,Phone,PHONE-IVR-AEBBCD05,1343.01,EUR,False,DE940385108476305936872135,Janusz Mazurkiewicz,Jan Mazurkiewicz,498064.85
TX-004454,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T15:00:00+00:00,2206,PL707933146803294335120966,Mobile,MOB-ANDROID-B6D136B5,819.39,EUR,True,DE034392102431927425850364,Anne Wisniewska,Anna Wisniewska,224713.32
TX-004486,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T18:00:00+00:00,2013,PL304831142867156036192169,Corporate API,CORPAPI-DDF0B458,876.11,EUR,False,DE307532026291249317042945,Katarzyna Dąbrowska,Ewa Szymańska,352668.09
TX-004537,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-22T22:00:00+00:00,2342,PL410023294517110444237747,Mobile,MOB-IOS-ABADADAA,2298.25,EUR,True,RU096288650514338917377340,Zbigniew Wozniak,Zdzislaw Wozniak,150788.97
TX-004753,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-23T13:00:00+00:00,2001,PL066293361683957442029549,Mobile,MOB-ANDROID-A58FBEA9,2031.81,EUR,False,DE076932917599600480403035,Katarzyna Dąbrowska,Ewa Szymańska,93507.15
TX-004755,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-23T13:00:00+00:00,2357,PL230571835186557602573611,Phone,PHONE-IVR-B2EA8FBE,23858.0,EUR,False,DE593576378622353625997449,Michał Krawczyk,Stefan Grabowski,2851.0
TX-004783,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-23T17:00:00+00:00,2294,PL568583463665075727474621,Web,WEB-CHROME-B63E980F,2029.69,EUR,True,SA777588724160702770315215,Aleksandra Kowalczyk,Dorota Kamińska,186484.23
TX-005164,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-24T22:00:00+00:00,2006,PL703380865608235925926154,Mobile,MOB-IOS-B62917D6,1994.7,EUR,False,DE335029139254065990531905,Tomasz Wiśniewski,Adam Dąbrowski,83619.84
TX-005241,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-25T03:00:00+00:00,2353,PL658937533778534860888898,Branch,BRANCH-TERM-F0BC4AAF,2612.91,EUR,True,RU241410539219168559401076,Marc Nowak,Marek Nowak,290044.34
TX-005360,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-25T11:00:00+00:00,2015,PL609283163366005019979690,Mobile,MOB-IOS-093FCE4D,4146.76,EUR,False,DE183332379936239504761332,Katarzyna Dąbrowska,Ewa Szymańska,450575.28
TX-005451,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-25T21:00:00+00:00,2290,PL250558492782611298264972,Mobile,MOB-IOS-D2827FBA,4692.79,EUR,True,TR037817809474381592994434,Elena Rossi,Francesca Bianchi,58297.9
TX-005680,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-26T12:00:00+00:00,2020,PL636747142330525548569484,Phone,PHONE-IVR-1564CACD,4144.65,EUR,False,DE240226163696655474487033,Dirk van den Berg,Willem de Vries,76400.66
TX-005846,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-27T01:00:00+00:00,2354,PL166240241600154907032387,Web,WEB-FIREFOX-D6FAFBC8,4379.16,EUR,True,AE493982852392796590352639,Johan Czerwinski,Jan Czerwinski,264192.75
TX-005950,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-27T08:00:00+00:00,2313,PL180636334080623624827760,Mobile,MOB-ANDROID-CBEB0D6B,4703.22,EUR,False,DE693384552283266760170839,Maria Zielińska,Anna Nowak,1977.0
TX-005968,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-27T09:00:00+00:00,2351,PL110176201716179030803238,Mobile,MOB-IOS-AD1C748B,571.91,EUR,True,RU084780989115169233984157,Anne Wisniewska,Anna Wisniewska,375089.68
TX-006034,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-27T18:00:00+00:00,2214,PL183451538572851965921276,Mobile,MOB-ANDROID-03719B80,263.4,EUR,True,DE162913289189453872867564,Peter Kaminski,Piotr Kaminski,180143.52
TX-006147,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-28T01:00:00+00:00,2139,PL280993398080353339085309,Corporate API,CORPAPI-7CAF388F,1805.29,EUR,False,DE576849262622671743600313,Peter Kaminski,Piotr Kaminski,412075.05
TX-006185,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-28T03:00:00+00:00,2358,PL969790464057542841469930,Branch,BRANCH-TERM-21F82A9A,34371.0,EUR,False,DE462645039198277428919842,Carlos García,Miguel Fernández,8900.0
TX-006703,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-30T00:00:00+00:00,2014,PL379445524400961304987179,Corporate API,CORPAPI-7A3EA8CF,3269.0,EUR,False,DE305999017127070021992712,Dirk van den Berg,Willem de Vries,217185.27
TX-006826,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-30T09:00:00+00:00,2289,PL108196886886705783831198,Web,WEB-CHROME-0F2B8194,700.44,EUR,True,SA517914799970673383198745,Tomasz Wiśniewski,Adam Dąbrowski,45540.47
TX-006868,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-30T15:00:00+00:00,2346,PL790650478800286146351594,Mobile,MOB-ANDROID-EF76EE8D,3937.7,EUR,True,RU287060670636739191399214,Lucja Pawlak,Lucyna Pawlak,495522.09
TX-007019,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-31T03:00:00+00:00,2140,PL389059662287490415424327,Branch,BRANCH-TERM-EFE5C17E,3591.06,EUR,False,DE831232154752730236204015,Heniek Zielinski,Henryk Zielinski,277209.53
TX-007105,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-31T10:00:00+00:00,2288,PL856053644546801513438093,Mobile,MOB-IOS-48C24DD8,4851.14,EUR,True,SA246406850115551819492665,Carlos García,Miguel Fernández,160770.77
TX-007120,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-31T12:00:00+00:00,2201,PL537698359549931898686272,Mobile,MOB-ANDROID-FD318DE2,1755.5,EUR,True,DE138308286595018173850847,Zbigniew Wozniak,Zdzislaw Wozniak,401364.05
TX-007125,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-31T13:00:00+00:00,2208,PL699032955707987577896067,Web,WEB-SAFARI-3EA0EA23,1327.38,EUR,True,DE667434418741396602151931,Anne Wisniewska,Anna Wisniewska,249159.59
TX-007149,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-01-31T17:00:00+00:00,2324,PL970791953810783812242875,Web,WEB-SAFARI-DFFB50F0,9182.84,EUR,False,DE104727662203431550069526,Tomasz Wiśniewski,Adam Dąbrowski,1862.0
TX-007266,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-01T01:00:00+00:00,2009,PL322886971873025291217823,Mobile,MOB-ANDROID-0B4EF09E,436.4,EUR,False,DE398529734564131566057537,Michał Krawczyk,Stefan Grabowski,207959.88
TX-007435,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-01T20:00:00+00:00,2365,PL594351018058429854616174,Mobile,MOB-ANDROID-DAAB5ADE,33352.0,EUR,False,DE349336087822663913308048,Katarzyna Dąbrowska,Ewa Szymańska,9584.0
TX-007494,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-02T00:00:00+00:00,2205,PL964231323780772336902376,Web,WEB-CHROME-CA594238,2743.27,EUR,True,DE964940238044957164377146,Anne Wisniewska,Anna Wisniewska,235125.91
TX-007593,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-02T06:00:00+00:00,2341,PL591747450785945285535722,Mobile,MOB-ANDROID-6DA7FFF7,3886.06,EUR,True,TR826950931927755234910751,Johan Czerwinski,Jan Czerwinski,224150.29
TX-007605,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-02T07:00:00+00:00,2370,PL664797654325985272211967,Mobile,MOB-ANDROID-C408FDDF,29439.0,EUR,False,DE266024508014086363354982,Dirk van den Berg,Willem de Vries,7188.0
TX-007641,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-02T13:00:00+00:00,2218,PL537837836997611160836509,Web,WEB-FIREFOX-A1E6ADC9,2702.09,EUR,True,DE170778518976670122946379,Janek Mazurek,Jan Mazurek,311132.26
TX-007715,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-02T23:00:00+00:00,2343,PL274382098942100334284218,Mobile,MOB-ANDROID-7EC4CC13,3333.63,EUR,True,AE649658561515861295569848,Janek Mazurek,Jan Mazurek,49056.48
TX-007798,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-03T04:00:00+00:00,2317,PL728984672234296282497000,Web,WEB-SAFARI-A7EE4BBB,8114.4,EUR,False,DE197613067439789372669160,Tomasz Wiśniewski,Adam Dąbrowski,8565.0
TX-007849,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-03T09:00:00+00:00,2360,PL242291879448478830573750,Web,WEB-FIREFOX-B2EF0EBB,27189.0,EUR,False,DE370126599594305732488150,Hans Mueller,Johann Schmidt,2108.0
TX-007889,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-03T18:00:00+00:00,2350,PL849840599767859138488972,Phone,PHONE-IVR-412FE77E,3336.47,EUR,True,TR789937055125544229354576,Marc Nowak,Marek Nowak,289904.17
TX-008087,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-04T12:00:00+00:00,2363,PL558825404319683051152379,Web,WEB-FIREFOX-0B4C6D6A,35739.0,EUR,False,DE959128319901833452083193,Dirk van den Berg,Willem de Vries,6270.0
TX-008510,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-06T04:00:00+00:00,2133,PL689822052800194464146425,Mobile,MOB-IOS-EDCCEA78,600.75,EUR,False,DE680758616520032937459657,Magda Kaminska,Magdalena Kaminska,248826.17
TX-008618,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-06T17:00:00+00:00,2312,PL065034667933076384143067,Phone,PHONE-IVR-9CDA8C0F,1080.57,EUR,False,DE753605723693247130377494,Carlos García,Miguel Fernández,1083.0
TX-008811,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-07T09:00:00+00:00,2352,PL262438553079210631315199,Branch,BRANCH-TERM-9FBA2DFD,1248.48,EUR,True,SA520332479550345276531571,Marc Nowak,Marek Nowak,183605.77
TX-008835,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-07T15:00:00+00:00,2321,PL211371143054622871170941,Phone,PHONE-IVR-FF1DB381,1764.97,EUR,False,DE761481495482152876425201,Maria Zielińska,Anna Nowak,5244.0
TX-008847,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-07T18:00:00+00:00,2012,PL865460761611884808836658,Web,WEB-FIREFOX-BB004A04,4618.14,EUR,False,DE819415619753869254077264,Elena Rossi,Francesca Bianchi,68836.62
TX-008848,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-07T18:00:00+00:00,2361,PL324473981197669950431178,Corporate API,CORPAPI-B3CA924D,21723.0,EUR,False,DE325430411084112713262665,Tomasz Wiśniewski,Adam Dąbrowski,7294.0
TX-008928,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T00:00:00+00:00,2008,PL914879278229231862440703,Mobile,MOB-IOS-A1029FF8,127.25,EUR,False,DE027279749396581270944900,James Wilson,David Brown,114948.98
TX-008998,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T05:00:00+00:00,2215,PL835647809829465804531721,Web,WEB-FIREFOX-AB9B9AE1,3004.32,EUR,True,DE571087515425617798779625,Peter Kaminski,Piotr Kaminski,75602.33
TX-009049,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T15:00:00+00:00,2348,PL817080587099752121312826,Web,WEB-CHROME-9DECCCE7,2027.39,EUR,True,AE628602651309216911913939,Magda Kaminska,Magdalena Kaminska,239825.65
TX-009051,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T16:00:00+00:00,2320,PL454560702810050483837916,Mobile,MOB-ANDROID-2A1273E6,3933.68,EUR,False,DE354115519245880556252519,Michał Krawczyk,Stefan Grabowski,3935.0
TX-009117,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T22:00:00+00:00,2005,PL971395711150533726917884,Phone,PHONE-IVR-54A6E1EB,1474.93,EUR,False,DE143716592977957688181425,Sophie Laurent,Isabelle Moreau,33465.77
TX-009139,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-08T23:00:00+00:00,2356,PL846356413132809286390963,Mobile,MOB-IOS-2B11CEBF,44116.0,EUR,False,DE988686930383004840644447,Dirk van den Berg,Willem de Vries,9061.0
TX-009170,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-09T01:00:00+00:00,2359,PL110823754508487575276564,Web,WEB-CHROME-E25BDCF7,31026.0,EUR,False,DE258728842531594245981557,Tomasz Wiśniewski,Adam Dąbrowski,8589.0
TX-009189,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-09T02:00:00+00:00,2127,PL574752043288329870642450,Mobile,MOB-IOS-C3CE5E2D,3380.48,EUR,False,DE119560418264410593311595,Josef Muller,Joseph Muller,153662.66
TX-009335,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-09T17:00:00+00:00,2323,PL852801116965561317573742,Phone,PHONE-IVR-5DBEFBD8,2088.96,EUR,False,DE100182134141208081081532,Sophie Laurent,Isabelle Moreau,1496.0
TX-009388,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-09T22:00:00+00:00,2291,PL471913637514174865796716,Web,WEB-SAFARI-BCDBF9BD,3646.94,EUR,True,TR131513593759784691318122,Dirk van den Berg,Willem de Vries,93060.78
TX-009542,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-10T08:00:00+00:00,2207,PL336485102278901092644121,Branch,BRANCH-TERM-2B0B04A2,4665.4,EUR,True,DE500332278380610291217486,Magda Kaminska,Magdalena Kaminska,350403.59
TX-009556,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-10T11:00:00+00:00,2345,PL649713751158497889213733,Branch,BRANCH-TERM-EFCCFC8B,4527.13,EUR,True,AE368283480028292981479822,Magda Kaminska,Magdalena Kaminska,315311.03
TX-009611,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-10T21:00:00+00:00,2121,PL588771953727011268621290,Phone,PHONE-IVR-FBCEC90B,3455.24,EUR,False,DE305069388802718611843903,Josef Muller,Joseph Muller,392479.28
TX-009661,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-11T01:00:00+00:00,2362,PL077840978218355816400745,Web,WEB-FIREFOX-9EA55A9B,37930.0,EUR,False,DE223817177472154564597231,Pierre Dubois,Jean Martin,9839.0
TX-009755,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-11T07:00:00+00:00,2131,PL111091096147551677564811,Mobile,MOB-ANDROID-1D9D5C9C,1998.99,EUR,False,DE982678209876889294729286,Josef Muller,Joseph Muller,108054.34
TX-009801,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-11T18:00:00+00:00,2123,PL535874336549843223013768,Mobile,MOB-IOS-CA3D4D3A,2696.32,EUR,False,DE608976176485038682167037,Heniek Zielinski,Henryk Zielinski,319790.73
TX-009878,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-12T00:00:00+00:00,2368,PL942964039499031086857833,ATM,ATM-C6F08C0F,38117.0,EUR,False,DE875369387923936092698724,Pierre Dubois,Jean Martin,7281.0
TX-009980,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-12T07:00:00+00:00,2349,PL484704339996282934772731,Corporate API,CORPAPI-9F20A6B1,4764.72,EUR,True,RU867210236569987143821350,Magda Kaminska,Magdalena Kaminska,345188.68
TX-010008,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-12T15:00:00+00:00,2367,PL710577678848151461975748,Mobile,MOB-ANDROID-170BCEEF,38220.0,EUR,False,DE457121625363858861523040,Carlos García,Miguel Fernández,7852.0
TX-010195,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-13T05:00:00+00:00,2322,PL395532461248512209566423,Mobile,MOB-IOS-BBBFA3D8,3702.87,EUR,False,DE839722699907801779979670,Hans Mueller,Johann Schmidt,6446.0
TX-010228,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-13T10:00:00+00:00,2129,PL153121733183785235484070,Mobile,MOB-ANDROID-EDEE35C3,547.14,EUR,False,DE500582863631235470512702,Josef Muller,Joseph Muller,302761.75
TX-010293,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-13T22:00:00+00:00,2212,PL700441456701191041154218,Mobile,MOB-ANDROID-510ACABF,1198.91,EUR,True,DE260613736308547693388250,Zbigniew Wozniak,Zdzislaw Wozniak,295568.09
TX-010312,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-13T23:00:00+00:00,2318,PL938319006226663446362176,Web,WEB-SAFARI-9A3BEAEE,11568.03,EUR,False,DE947056722507227273777099,Elena Rossi,Francesca Bianchi,9740.0
TX-010335,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T01:00:00+00:00,2325,PL462268177153408678498245,ATM,ATM-ADAC756D,1569.76,EUR,False,DE801779349733757922549392,Elena Rossi,Francesca Bianchi,7686.0
TX-010441,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T10:00:00+00:00,2314,PL483357823496536614207429,Mobile,MOB-ANDROID-D4AEE37C,6746.75,EUR,False,DE222293891192028952967341,Agnieszka Pawlak,Joanna Wojciechowska,5480.0
TX-010450,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T12:00:00+00:00,2344,PL471578034423006079520139,Branch,BRANCH-TERM-DAEABCE6,2444.61,EUR,True,SA661898979579052411022687,Magda Kaminska,Magdalena Kaminska,6471.24
TX-010455,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T16:00:00+00:00,2213,PL901223250544488379307293,Web,WEB-FIREFOX-3C0FB468,1101.27,EUR,True,DE352662531564180652696469,Janek Mazurek,Jan Mazurek,495145.86
TX-010464,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T18:00:00+00:00,2219,PL858876501461899216790911,Phone,PHONE-IVR-B176EB5C,4564.82,EUR,True,DE963473646995750584160756,Peter Kaminski,Piotr Kaminski,498468.83
TX-010465,R1,2,25,Confirmation of Payee - Name Mismatch detected,50,2026-02-14T18:00:00+00:00,2282,PL104703359583433944450096,Mobile,MOB-ANDROID-73ACC858,2477.86,EUR,True,RU909343212472541758285857,Hans Mueller,Johann Schmidt,413055.55
